,game_fr,game_en,platform,website_rating,public_rating,publishor/developer,release,type,classification,url,description
14349,Street Racing Syndicate,SRS: Street Racing Syndicate,PC,10/20,16.5/20,Hip Interactive Eutechnyx Codemasters Namco,04 Mars 2005,Course,+12 ans,http://www.jeuxvideo.com/jeux/jeu-61943/," Les jeux de courses ne sont certes pas réputés pour être des titres à scénario, mais Street Racing Syndicate possède déjà une histoire qui mérite d'être résumée ici. La version PC dont il est question sur cette page voit le jour quelques semaines après la sortie de la mouture GameCube qui est déjà sujette à polémique. Cette dernière version vient en effet d'être retirée de la vente suite à la découverte d'un bug qui empêchait de terminer le jeu en mode solo. A priori, la version PC ne serait pas victime de ce défaut, mais on peut se demander si Namco a réellement intérêt à maintenir la sortie des opus Xbox et PS2 pour le mois de mai. En attendant de connaître la réponse, voyons si le titre mérite vraiment le coup d'oeil."
14350,Street Racing Syndicate,SRS: Street Racing Syndicate,NGC,10/20,16.5/20,Hip Interactive Eutechnyx Codemasters Namco,04 Mars 2005,Course,+12 ans,http://www.jeuxvideo.com/jeux/jeu-61943/," Un lampadaire, un banc, une lueur. Lorsque l'on parcourt une ville à une centaine de kilomètres par heure, on ne peut apercevoir que des bribes de vie, des éclats de décors indéfinis. Mais pourquoi cette soudaine bravade contre la loi, pourquoi cette prise de risque inconsidérée ? Tout simplement dans un pur esprit de compétition. Effectivement, de nos jours les courses automobiles ne se font plus dans des circuits réglementés, mais dans les rues luminescentes de nos cités urbaines égayées par des ballets de spoilers, de néons colorés et de jantes de plus ou moins de pouces. Fort heureusement, il existe également des ""runs"" réglementés, évitant démembrements de chats ou encore concassages incontrôlés de véhicules. SRS aborde t-il de manière ouverte ces deux côtés ?"
14351,Street Riders,Street Riders,PSP,11/20,15.1/20,Ubisoft Virtuos,31 Mars 2006,Action Course,+16 ans,http://www.jeuxvideo.com/jeux/playstation-portable-psp/00015304-street-riders.htm," Dans la lignée des jeux qui changent de nom pour des raisons obscures, Street Riders réussit une belle performance. Possédant l'appellation d'origine contrôlée 187 Ride Or Die, le titre d'Ubisoft est en effet l'adaptation directe des opus parus sur console de salon. Pourquoi tenter de cacher la vérité ? Personne ne le sait vraiment. Sans doute l'humanité aura un jour la réponse à ce sombre mystère. Pour l'instant concentrons-nous sur ce cocktail de voitures modifiées, d'explosions et de gros bras qui se croient charismatiques. On impose tout de suite plus de respect avec un fusil à pompe comme dit Buck."
14352,Street Scooters,Street Riders,PS1,10/20,16/20,Eon Digital Entertainment Tyo,Octobre 2000,Course,+3 ans,http://www.jeuxvideo.com/jeux/playstation-ps1/00004131-street-scooters.htm," L'avantage avec les jeux vidéo, c'est qu'on peut faire des trucs beaucoup plus amusants que dans la vraie vie. Alors, si vous empruntez votre moto tous les jours mais que vous trouvez votre parcours trop monotone, Street Scooters saura peut-être vous contenter."
14353,Street Skater,Street Sk8er,PS1,12/20,13.4/20,Electronic Arts Atelier Double,1999,Sport,+3 ans,http://www.jeuxvideo.com/jeux/jeu-56275/," Né en 1999, Street Skater est l'un des premiers jeux de skateboard à apparaître sur la console de Sony. Face à une concurrence féroce (Tony Hawk's Skateboarding), le soft parvient-il à se démarquer ?"
14354,Street Skater 2,Street Sk8er 2,PS3,16/20,19/20,Electronic Arts Microïds,31 Mars 2000,Sport,+3 ans,http://www.jeuxvideo.com/jeux/jeu-57556/," Electronic Arts jette son pavé dans la mare des jeux de skate avec la deuxième version de son Street Skater, bien plus aboutie heureusement que le premier volet. De là à détrôner l'incontesté maître Tony Hawk Skateboarding... Peut-être pas !"
14355,Street Skater 2,Street Sk8er 2,PSP,16/20,19/20,Electronic Arts Microïds,31 Mars 2000,Sport,+3 ans,http://www.jeuxvideo.com/jeux/jeu-57556/," Electronic Arts jette son pavé dans la mare des jeux de skate avec la deuxième version de son Street Skater, bien plus aboutie heureusement que le premier volet. De là à détrôner l'incontesté maître Tony Hawk Skateboarding... Peut-être pas !"
14356,Street Skater 2,Street Sk8er 2,PS1,16/20,19/20,Electronic Arts Microïds,31 Mars 2000,Sport,+3 ans,http://www.jeuxvideo.com/jeux/jeu-57556/," Electronic Arts jette son pavé dans la mare des jeux de skate avec la deuxième version de son Street Skater, bien plus aboutie heureusement que le premier volet. De là à détrôner l'incontesté maître Tony Hawk Skateboarding... Peut-être pas !"
14357,Street Supremacy,Street Supremacy,PSP,9/20,17.3/20,Konami Genki,Septembre 2006,Course,+3 ans,http://www.jeuxvideo.com/jeux/playstation-portable-psp/00015595-street-supremacy.htm," Plate-forme portable reine pour l'adaptation de jeux de courses automobiles, la PSP voit donc arriver un nouvel émissaire gorgé d'essence portant le doux nom de Street Supremacy. Après avoir connu les joies du Burnout Legends et les tristes effets d'un Juiced pas franchement convaincant, la console de Sony semble chercher un équilibre ludique dans le domaine du sport à quatre roues. Est-ce que le titre de Genki sera ce messie aux reflets chromés ? La réponse se trouve derrière le spoiler."
14358,Street Wars,Mob Rule,PC,16/20,18.4/20,Activision,Juin 1999,Stratégie,Unknown,http://www.jeuxvideo.com/jeux/pc/00002318-street-wars.htm," Après Constructor et ses locataires déjantés, Studio 3 nous a concocté la suite dans une ambiance de prohibition et de charleston. Enfin ! Vous allez enfin pouvoir devenir un parrain, un vrai. Un de ceux qui parlent commé ça avec une voix rauque. Les Al Capone et autres Bugsy Siegel n'ont qu'à bien se tenir. Humour noir et sulfateuses garantis !"
14359,Street Writer,Street Wrestler,PC iOS Android,15/20,13/20,Motion Twin,01 Décembre 2014,Puzzle-Game Jeu de société,+3 ans,http://www.jeuxvideo.com/jeux/jeu-436353/,"Sorti le 1er décembre 2014, ce jeu de lettres s'approchant du Scrabble réalisé par Motion Twin saura vous ravir si vous êtes fan du genre."
14360,Streets of Fury EX,Streets of Doom,PC,15/20,13.1/20,Guard Crush Games,25 Juin 2015,Beat'em All Combat,Unknown,http://www.jeuxvideo.com/jeux/pc/jeu-426104/,"Certains genres de jeux ont vécu leur âge d’or avant de s’éteindre lentement, oubliés de tous. Puis ils se sont relevés, de la main tendue de développeurs ayant décidé que non, le point & click, le jeu de rôle à vue isométrique, le shoot’em up n'étaient pas morts. Profitant des nouveaux moyens de distribution permis par la démocratisation d’Internet, des indés de tous poils se moquent des tendances en préférant croire à des jeux de niche ou des concepts fous. C’est ainsi que le beat'em all, qui a alimenté les bornes d’arcade des années 80 jusqu’à l’overdose, se renouvelle encore régulièrement avec un Castle Crashers ou un Samurai Riot. Le jeu de combat aux personnages digitalisés en revanche, fut enterré et scellé il y a bien longtemps afin de protéger nos petites têtes blondes. Ce sont les développeurs de chez Guard Crush Games qui ont eu le courage – ou la folie – de réveiller la bête. Le résultat vaut le coup d’œil."
14361,Streets of Rage,Streets of Rage,Wii,17/20,17.9/20,Sega,1991,Beat'em All,+7 ans,http://www.jeuxvideo.com/jeux/jeu-56572/," Que de souvenirs liés à Streets of Rage… Quand on évoque ce jeu, trois choses viennent à l'esprit : en effet, Streets of Rage s'appréciait avant tout pour sa musique, son ambiance, et son gameplay simple mais bourrin et jouissif à souhait. Mais ce jeu est-il toujours aussi plaisant dix-huit ans après ?"
14362,Streets of Rage,Streets of Rage,MD,17/20,--/20,Sega,1991,Beat'em All,+7 ans,http://www.jeuxvideo.com/jeux/jeu-56572/," Que de souvenirs liés à Streets of Rage… Quand on évoque ce jeu, trois choses viennent à l'esprit : en effet, Streets of Rage s'appréciait avant tout pour sa musique, son ambiance, et son gameplay simple mais bourrin et jouissif à souhait. Mais ce jeu est-il toujours aussi plaisant dix-huit ans après ?"
14363,Streets of Rage 2,Streets of Rage 2,Wii,18/20,19.7/20,Sega,1992,Action Beat'em All Combat,+12 ans,http://www.jeuxvideo.com/jeux/jeu-56573/," Il aura fallu attendre un an, avant de voir sortir une suite à ce bon vieux beat'em all qu'était Streets of Rage puisque le second volet sortira en 1992 sous le nom de Streets of Rage 2. Mais l'attente n'aura pas été vaine puisque même si le jeu reprend la majeure partie du contenu du premier volet, la cartouche comporte tout de même un lot de nouveautés non négligeable. Alors on prend les mêmes et on recommence ? Eh bien non, enfin pas tout à fait."
14364,Streets of Rage 2,Streets of Rage 2,MD,18/20,19.7/20,Sega,1992,Action Beat'em All Combat,+12 ans,http://www.jeuxvideo.com/jeux/jeu-56573/," Il aura fallu attendre un an, avant de voir sortir une suite à ce bon vieux beat'em all qu'était Streets of Rage puisque le second volet sortira en 1992 sous le nom de Streets of Rage 2. Mais l'attente n'aura pas été vaine puisque même si le jeu reprend la majeure partie du contenu du premier volet, la cartouche comporte tout de même un lot de nouveautés non négligeable. Alors on prend les mêmes et on recommence ? Eh bien non, enfin pas tout à fait."
14365,Streets of Rage 3,Streets of Rage 3,Wii,14/20,16.5/20,Sega,1994,Beat'em All,+7 ans,http://www.jeuxvideo.com/jeux/jeu-56574/," Deux années ont passé depuis le succès mérité de Streets of Rage 2, et Sega est décidé à relancer la série pour un dernier coup de poing dans la tronche. 1994 est donc l’année qui a vu naître l’épisode final de Streets of Rage… Sur le papier ou en bonne bande-annonce, il y avait de quoi attiser les joueurs, assoiffés de violence et de châtaignes urbaines. Mais le jeu avait-il vraiment de quoi les satisfaire ?"
14366,Streets of Rage 3,Streets of Rage 3,MD,14/20,--/20,Sega,1994,Beat'em All,+7 ans,http://www.jeuxvideo.com/jeux/jeu-56574/," Deux années ont passé depuis le succès mérité de Streets of Rage 2, et Sega est décidé à relancer la série pour un dernier coup de poing dans la tronche. 1994 est donc l’année qui a vu naître l’épisode final de Streets of Rage… Sur le papier ou en bonne bande-annonce, il y avait de quoi attiser les joueurs, assoiffés de violence et de châtaignes urbaines. Mais le jeu avait-il vraiment de quoi les satisfaire ?"
14367,Streets of Rogue,Streets of Rogue,PC PS4 ONE,15/20,17/20,Matt Dabrowski tinyBuild,10 Mars 2017,Action Aventure RPG,Unknown,http://www.jeuxvideo.com/jeux/jeu-627920/,"Depuis ses débuts, le jeu vidéo n'a jamais cessé de chercher le point où la liberté offerte et le gameplay se marieront le mieux, volontée encore prouvée récemment par la sortie de The Legend of Zelda : Breath of the Wild. Dans un registre beaucoup plus ""humble"" se trouve Streets of Rogue, jeu indépendant qui nous propose d'enfiler une vingtaine de costumes différents pour aller mettre le boxon dans une ville en 2D procédurale et jouable en coopération à 4 sur le même écran."
14368,Strider,Strider,360,14/20,17/20,Capcom Double Helix Games,19 Février 2014,Action Plate-Forme,Unknown,http://www.jeuxvideo.com/jeux/jeu-59365/," Nous sommes en 1989. La guerre froide touche à sa fin mais reste un formidable sujet d'inspiration pour les auteurs : livres, films, personne n'y coupe. C'est dans ce contexte que débarque Strider, un jeu d'action et de plates-formes vous mettant dans la peau d'Hiryu, un ninja qui devra se faire une place dans un monde futuriste à mi-chemin entre ambiance cyberpunk et régime totalitaire aux forts relents communistes. 25 ans plus tard, Strider et son héros Hiryu sont de retour dans un épisode uniquement disponible en téléchargement et à petit prix."
14369,Strider,Strider,MD,16/20,17/20,US Gold Capcom Sega Virgin Interactive,1989,Action Aventure Plate-Forme,+3 ans,http://www.jeuxvideo.com/jeux/jeu-82572/," Après être sorti sur bornes d'arcade, Strider s'est vu décliné sur une multitude de supports. De toutes ces versions, la plus fidèle au jeu d'origine reste celle sortie sur Megadrive. Retour sur ce grand nom du jeu d'action&#47;plates-formes, assurément l'un des grands titres de la console de Sega."
14370,Strider 2,Strider 2,PS1,15/20,13.6/20,Capcom US Gold Tiertex Design Studios,1990,Action Plate-Forme,+3 ans,http://www.jeuxvideo.com/jeux/jeu-57472/," Sorti en 1990, Strider avait rencontré un grand succès auprès des joueurs. A l'inverse, sa suite de 1993 a essuyé de très nombreuses critiques, au point d'être volontairement tombée dans l'oubli de l'éditeur. Ceci explique certainement pourquoi Capcom nous offre un nouveau Strider 2, sur Playstation cette fois. Dix ans après sa première apparition, Hiryu a-t-il toujours la forme ?"
14371,Strife,Strife,PC,16/20,20/20,Night Dive Studios Velocity Rogue Entertainment,1996,FPS RPG,Unknown,http://www.jeuxvideo.com/jeux/jeu-82346/," Développé par Rogue Entertainment, Strife est un FPS sorti sur PC en 1996. Vous incarnez un rebelle vivant dans un monde médiéval et futuriste dirigé par des tyrans. Endossez votre armure, armez-vous jusqu'aux dents, vous allez montrer à ces boîtes de conserve de quel bois vous vous chauffez !"
14372,Strike Fighters : Project-1,Strike Fighters: Project 1,PC,13/20,14/20,Strategy First Third Wire Productions,Janvier 2003,Simulation,Unknown,http://www.jeuxvideo.com/jeux/pc/00009949-strike-fighters-project-1.htm," Suite à la preview que nous lui avions consacrée, c'est maintenant une version finale de Strike Fighters un rien décevante qui arrive sur PC. Un titre finalement très contrasté et qui, s'il dispose de certains atouts souffre également d'énormes lacunes."
14373,Strike Suit Zero,Strike Suit Zero,PC,14/20,15.3/20,Born Ready Games,24 Janvier 2013,Action Shoot'em Up Simulation,Unknown,http://www.jeuxvideo.com/jeux/jeu-77371/," Le phénomène Kickstarter a totalement chamboulé le paysage vidéoludique. Le site dédié aux financements participatifs a en effet donné un coup de pouce à des projets qui n'auraient certainement jamais vu le jour dans un cadre plus classique. C'est justement le cas de Strike Suit Zero, un shooter spatial qui promet de nous en mettre plein les mirettes."
